,datetime,city,state,country,shape,duration_(seconds),duration_(hours/min),comments,date_posted,latitude,longitude,month,year,year_month
64894,1998-07-21 02:00:00,mohrsville/centerport,pa,,formation,300,5 minutes,Bright white &quot;landing lights&quot; in straight line formation moving south to north at just above tree-top level. No sound; moving slowly. ,12/16/1999,40.47,-76.005146,7,1998,1998-07
64895,1998-07-21 12:00:00,rochester,ny,us,other,120,2&#44minutes,I was with my brother in my front yard&#44 when I noticed a slow blinking light up in the sky. I knew it wasn&#39t a satilite because it was,6/23/1999,43.1547222,-77.6158333,7,1998,1998-07
64896,1998-07-21 21:00:00,houston,tx,us,other,900,15 minutes,Recalled childhood experience,3/11/2006,29.7630556,-95.3630556,7,1998,1998-07
64897,1998-07-21 21:45:00,leo,in,,light,60,1 minute,During a severe thunderstorm a single light appeared moving unevenly (up and down) from east to west.,11/21/1998,0,0.0,7,1998,1998-07
64898,1998-07-21 23:19:00,napoleon,oh,us,unknown,600,10 minutes,It started as a &quot;cloud&quot; that had lights(red&#44green&#44yellow) and then branched out&#44 then dissappeared. Several craft seen circling.,2/16/2000,41.3922222,-84.1252778,7,1998,1998-07
64899,1999-07-21 00:00:00,clarkson,ky,us,light,0,moving down slow,Taking a walk and I looked over to the right and there was a round red light moving down slowly and looked as if it was on fire but was,4/18/2012,37.4952778,-86.2213889,7,1999,1999-07
64900,1999-07-21 02:00:00,spokane,wa,us,circle,20,20sec,silver color and it move very fast&#44,8/10/1999,47.6588889,-117.425,7,1999,1999-07
64901,1999-07-21 23:30:00,fort lewis,wa,,cylinder,180,3 min,Traveling along a main road on Ft Lewis I noticed from the north a air craft was traveling just above ground level about a half mile aw,7/25/2004,0,0.0,7,1999,1999-07
64902,2000-07-21 12:10:00,nothridge,ca,,other,600,10 minutes,Two completely different objects floating in the sky near Van Nuys CA.,8/19/2000,34.238125,-118.530123,7,2000,2000-07
64904,2000-07-21 18:00:00,chula vista,ca,us,other,180,3 min,Black&#44 shaped like a clover&#44 slowly rotating&#44 surrounded by what looked like heat waves.,7/29/2000,32.6400000,-117.0833333,7,2000,2000-07
