,datetime,city,state,country,shape,duration_(seconds),duration_(hours/min),comments,date_posted,latitude,longitude,month,year,year_month
64789,2009-07-20 22:00:00,las vegas,nv,us,light,7200,2hours,fuzzy cloud like images. ((NUFORC Note:  Probably advertising lights.  PD)),8/5/2009,36.1750000,-115.1363889,7,2009,2009-07
64790,2009-07-20 22:00:00,ocean city,nj,us,light,7200,2 hours,Blinking and bright orange lights out at sea&#44 east of Ocean City.,8/27/2009,39.2775000,-74.575,7,2009,2009-07
64791,2009-07-20 22:00:00,yamhill/cove orchard,or,,sphere,1020,17 minutes,This object was not projecting light forward.  It was making no sounds of any kind and when it moved from west to the east it wasn&#8217;t a,8/5/2009,45.356068,-123.168454,7,2009,2009-07
64792,2009-07-20 22:15:00,eugene,or,us,light,300,5 minutes,Something is going on in Eugene&#44 Oregon.  Many sighting from many people across many months.,8/5/2009,44.0522222,-123.0855556,7,2009,2009-07
64793,2009-07-20 22:15:00,gig harbor,wa,us,light,60,1 minute,Guy outside yells &quot;Come look at this&quot; I go outside. Silent flying light&#44 altitude higher than small local planes&#44 flying east to west.,8/5/2009,47.3294444,-122.5788889,7,2009,2009-07
64794,2009-07-20 22:40:00,buffalo grove,il,us,light,180,3 minute&#39s,While sitting outside with a friend&#44 looking out west into the distance I saw an orange light moving southeast towards us. This little,8/5/2009,42.1513889,-87.9597222,7,2009,2009-07
64795,2009-07-20 23:00:00,clearwater,fl,us,triangle,45,45 sec,CRAZY UFO SIGHTINGS,8/5/2009,27.9655556,-82.8002778,7,2009,2009-07
64796,2009-07-20 23:14:00,boise,id,us,light,10,10 seconds,Very bright object aprox 1000ft agl&#44 steady west to east course&#44 suddenly dims to complete dark.  Similar to shooting star fadeout&#44 yet,8/5/2009,43.6136111,-116.2025,7,2009,2009-07
64797,2009-07-20 23:30:00,brookston,in,us,light,20,20 secs,As I was taking the trash out&#44 I happened to look up to see the stars since Brookston is small and the light pollution is low.  I saw a,8/5/2009,40.6027778,-86.8672222,7,2009,2009-07
64798,2010-07-20 00:35:00,albany,ny,us,other,2,a few seconds,Brilliant streak of white lite that ended in an extremly bright flash near Albany International Airport.,7/28/2010,42.6525000,-73.7566667,7,2010,2010-07
64799,2010-07-20 00:47:00,richland,wa,us,changing,60,not long maybe a minute,From one red line to three red balls (like red stars)&#44 to the balls to (v)(^(<)&#44 blinking red lights making a triangle.,7/28/2010,46.2858333,-119.2833333,7,2010,2010-07
64800,2010-07-20 01:00:00,selkirk,ny,us,unknown,0,,Between 1:00 am and 2:00 am on the day of july 20th 2010 i had looked out my window to the south and had seen bright light with some re,7/28/2010,42.5322222,-73.7988889,7,2010,2010-07
64801,2010-07-20 01:00:00,selkirk,ny,us,unknown,60,hour and a half,I had emailed u about the strange sighting that i had witnessed&#8230;  ((NUFORC Note:  Celestial body&#8230;star or planet??  PD)),7/28/2010,42.5322222,-73.7988889,7,2010,2010-07
64802,2010-07-20 01:32:00,national forest,ca,,diamond,900,15 minutes,3 objects fyling north bound got to within 1000ft of them&#44 Looked to be glowing silver orbs dripping metal as they spun around.,7/28/2010,42.129088,-123.23387,7,2010,2010-07
64803,2010-07-20 03:00:00,washington&#44 d.c.,dc,,light,0,nightly,&#9;I live in Wash.&#44 D.C. For weeks I had observed a bright luminous celestial body in the sky I couldn&#8217;t identify. The object would rise,8/24/2010,38.907231,-77.036464,7,2010,2010-07
64804,2010-07-20 03:10:00,washington&#44 d.c.,dc,,sphere,300,5 minutes,Moving star with beam of light,8/24/2010,38.907231,-77.036464,7,2010,2010-07
64805,2010-07-20 03:18:00,washington&#44 d.c.,dc,,sphere,3,3 seconds,At 03:18 AM I was called to take a look at a bright object&#44 by a friend. I went outside with my camera and camera platform (tripod) and,7/28/2010,38.907231,-77.036464,7,2010,2010-07
64806,2010-07-20 04:00:00,friendship,tn,us,circle,180,about 3 minutes,Bright light over small town.,7/28/2010,35.9088889,-89.2452778,7,2010,2010-07
64807,2010-07-20 09:00:00,wichita,ks,us,sphere,1200,20 minutes,10 sphere objects over wichita ks municiple airport,1/31/2011,37.6922222,-97.3372222,7,2010,2010-07
64808,2010-07-20 09:03:00,rocklin,ca,us,rectangle,30,20-30 seconds,Rotating&#44 dark gray&#44 rectangles I saw during the DAY&#33,7/28/2010,38.7908333,-121.2347222,7,2010,2010-07
64809,2010-07-20 12:35:00,appleton,ny,us,light,45,3/4 second,mysterious green light in sky cited in Appleton NY,7/28/2010,43.3275000,-78.6483333,7,2010,2010-07
64811,2010-07-20 20:15:00,maynard,ma,us,cylinder,120,2 minutes,Three rectangular shaped very bright objects&#44 within 15 to 20 sedonds of each other that just dissapeard into the sky.,7/28/2010,42.4333333,-71.45,7,2010,2010-07
64812,2010-07-20 21:00:00,arlington heights,il,us,circle,7200,2 hours(?),UFO sighting over my health with pictures.,7/4/2012,42.0883333,-87.9805556,7,2010,2010-07
64813,2010-07-20 21:05:00,surfside beach,sc,us,formation,30,30 seconds,Formation of 8 lights over ocean in Surfside Beach S.C.,7/28/2010,33.6058333,-78.9733333,7,2010,2010-07
64814,2010-07-20 21:15:00,burley,id,us,disk,5,5 seconds,Disc shaped UFO sighted over Idaho,8/24/2010,42.5358333,-113.7919444,7,2010,2010-07
64815,2010-07-20 21:30:00,portal,ga,us,light,600,10 minutes,Red/Orangeish&#44 or Golden Colored Lights&#44 many appearing then Fading out Together&#44 and being in one place then another instantly&#44&#44&#44,8/24/2010,32.5380556,-81.9325,7,2010,2010-07
64816,2010-07-20 21:42:00,arlington heights,il,us,light,45,35-45 seconds,Extra Star (What it looked like.) on the handle portion of the Big Dipper - Stationary then moved in a northerly direction.,7/28/2010,42.0883333,-87.9805556,7,2010,2010-07
64818,2010-07-20 22:00:00,ida,mi,us,fireball,600,10 minutes,Fireball over Monroe Co&#44 MI,7/28/2010,41.9108333,-83.5736111,7,2010,2010-07
64819,2010-07-20 22:30:00,orrville,oh,us,light,2700,45 minutes,Immensely bright object appears in the W sky by my house. Occurs regularly&#44 nearly every night.  ((NUFORC Note:  Venus.  PD)),7/28/2010,40.8436111,-81.7641667,7,2010,2010-07
64820,2011-07-20 01:00:00,lake jackson,tx,us,disk,0,all night,((HOAX??))  dices shaped planed with red and blue lights with speeds that are  impossible for any man made plane,8/21/2011,29.0336111,-95.4341667,7,2011,2011-07
64821,2011-07-20 01:00:00,oakwood,ga,us,light,2700,one hour,Oakwood,8/7/2011,34.2275000,-83.8844444,7,2011,2011-07
64822,2011-07-20 01:30:00,churubusco,in,us,unknown,600,10 mins,Hovering object over Noble county IN.,8/7/2011,41.2305556,-85.3194444,7,2011,2011-07
64823,2011-07-20 13:13:00,san diego,ca,us,rectangle,540,9 minutes,UFO sighted over Mission Valley.,8/7/2011,32.7152778,-117.1563889,7,2011,2011-07
64824,2011-07-20 20:00:00,memphis,tn,us,cylinder,1800,~30 mins,Objects over Memphis&#44 8pm mostly every night&#33  ((NUFORC Note:  Student report.  One of several from the same source.  PD)),8/7/2011,35.1494444,-90.0488889,7,2011,2011-07
64825,2011-07-20 21:00:00,talihina,ok,us,light,10800,3 hours,Strobing Ball of light and craft.  ((NUFORC Note:  Possible hoax??  PD)),1/10/2014,34.7513889,-95.0477778,7,2011,2011-07
64826,2011-07-20 22:00:00,paradise,ca,us,other,60,1 min,Multiple aircraft,10/10/2011,39.7597222,-121.6208333,7,2011,2011-07
64827,2011-07-20 22:13:00,casper,wy,us,light,30,30 seconds,Object traveled across sky&#44 rapidly accelerated&#44 and disappeared.,8/7/2011,42.8666667,-106.3125,7,2011,2011-07
64828,2011-07-20 22:15:00,bridgewater,ma,us,light,15,10-15 seconds,i saw what looked to be a star moving from the left to right going too slow to be a shooting star and too fast and high to be a plane.,8/7/2011,41.9902778,-70.9755556,7,2011,2011-07
64829,2011-07-20 22:30:00,wilbraham,ma,us,oval,600,10 minutes,Round object seen rising above tree line with green lights moving in circular motion with search light.,8/7/2011,42.1236111,-72.4319444,7,2011,2011-07
64830,2011-07-20 23:00:00,clearwater,fl,us,unknown,10,5-10 seconds,Red/Yellow/Orange Orb-like Lights Over Clearwater,8/21/2011,27.9655556,-82.8002778,7,2011,2011-07
64831,2011-07-20 23:00:00,surfside beach,sc,us,light,600,5-10 minutes,Independently moving orange lights over the ocean.,7/3/2013,33.6058333,-78.9733333,7,2011,2011-07
64832,2011-07-20 23:20:00,brownsville,ky,us,triangle,10,10 seconds,I saw 3 lights in the form a triangle and it was flying very low and slow&#44,8/7/2011,37.1925000,-86.2677778,7,2011,2011-07
64833,2012-07-20 02:30:00,farmington,mn,us,circle,15,15 seconds,Spinning silver object with 3 lights flying slow at around 2500 feet moving north over Farmington.,8/5/2012,44.6402778,-93.1433333,7,2012,2012-07
64834,2012-07-20 04:00:00,greene,me,us,diamond,7200,2 hours,A diamond shaped craft grows brighter&#44 vanishes and comes back&#44 hovering in the distance in Greene&#44 Maine.,8/5/2012,44.1897222,-70.1408333,7,2012,2012-07
64835,2012-07-20 09:55:00,hampstead,nh,us,circle,300,5 minutes,Bright lighted object zigzagging through the sky.,8/5/2012,42.8744444,-71.1816667,7,2012,2012-07
